KEY,English,Norwegian
GameFramework.Demo.Title,Welcome, 
GameFramework.Demo.Text1,Thank you for downloading Game Framework., 
GameFramework.Demo.Text2,'This demo explains how to get started and some of the features in the framework.

Please support us by rating this asset on the Unity asset store.', 
GameFramework.Demo.OnlineTutorials,Online Tutorials,Nett Kurs
GameFramework.Demo.OnlineTutorials,Online Tutorials,Nett Kurs
GameFramework.Demo.Rate,Rate Now!,Evaluer oss!
GameFramework.Demo.Settings.AutoPlaySpeed,Playback Speed,Hastighet
 
